0,1
IAM_Words\j06\j06-030\j06-030-02-05.png,and
IAM_Words\a04\a04-089\a04-089-06-06.png,out
IAM_Words\b03\b03-104\b03-104-09-01.png,not
IAM_Words\a01\a01-063\a01-063-00-04.png,""""
IAM_Words\h06\h06-085\h06-085-00-05.png,remember
IAM_Words\h06\h06-003\h06-003-04-02.png,(
IAM_Words\d06\d06-008\d06-008-02-01.png,to
IAM_Words\n04\n04-048\n04-048-03-05.png,.
IAM_Words\c02\c02-082\c02-082-05-04.png,.
IAM_Words\e07\e07-098\e07-098-09-02.png,numerous
IAM_Words\f07\f07-019b\f07-019b-00-01.png,and
IAM_Words\h04\h04-061\h04-061-00-00.png,78
IAM_Words\b06\b06-075\b06-075-08-03.png,on
IAM_Words\a04\a04-089\a04-089-01-00.png,of
IAM_Words\d06\d06-027\d06-027-01-03.png,","
IAM_Words\h06\h06-085\h06-085-02-00.png,from
IAM_Words\l04\l04-071\l04-071-05-01.png,keeping
IAM_Words\n04\n04-052\n04-052-03-03.png,cordiality
IAM_Words\m04\m04-093\m04-093-02-04.png,glanced
IAM_Words\a06\a06-100\a06-100-06-04.png,he
IAM_Words\d05\d05-040\d05-040-03-06.png,a
IAM_Words\m04\m04-131\m04-131-04-01.png,Eth
IAM_Words\g07\g07-030\g07-030-03-01.png,return
IAM_Words\g06\g06-047o\g06-047o-02-02.png,or
IAM_Words\m01\m01-149\m01-149-00-07.png,stop
IAM_Words\f07\f07-021a\f07-021a-05-00.png,his
IAM_Words\g06\g06-089\g06-089-08-01.png,of
IAM_Words\h07\h07-023\h07-023-08-08.png,a
IAM_Words\b01\b01-122\b01-122-08-02.png,more
IAM_Words\a01\a01-128u\a01-128u-08-05.png,cost
IAM_Words\d06\d06-096\d06-096-03-08.png,industry
IAM_Words\d01\d01-049\d01-049-06-05.png,To
IAM_Words\a01\a01-117\a01-117-09-04.png,last
IAM_Words\f07\f07-069\f07-069-00-00.png,Foodlore
IAM_Words\r03\r03-096\r03-096-04-05.png,lovely
IAM_Words\n06\n06-156\n06-156-06-00.png,miners
IAM_Words\n04\n04-068\n04-068-03-09.png,in
IAM_Words\c03\c03-096f\c03-096f-02-01.png,","
IAM_Words\m04\m04-024\m04-024-06-07.png,far
IAM_Words\g06\g06-026a\g06-026a-00-00.png,A
IAM_Words\g06\g06-031f\g06-031f-03-10.png,","
IAM_Words\c03\c03-021a\c03-021a-06-04.png,He
IAM_Words\g06\g06-047c\g06-047c-01-00.png,Burdett
IAM_Words\k04\k04-115\k04-115-01-06.png,of
IAM_Words\g06\g06-011k\g06-011k-05-08.png,a
IAM_Words\a01\a01-026\a01-026-06-06.png,","
IAM_Words\c03\c03-087a\c03-087a-04-01.png,him
IAM_Words\m01\m01-131\m01-131-06-02.png,up
IAM_Words\b01\b01-118\b01-118-03-07.png,of
IAM_Words\a01\a01-030x\a01-030x-01-05.png,not
IAM_Words\g01\g01-034\g01-034-04-00.png,be
IAM_Words\m01\m01-060\m01-060-06-02.png,shook
IAM_Words\k07\k07-059a\k07-059a-02-01.png,never
IAM_Words\a06\a06-134\a06-134-05-04.png,in
IAM_Words\d04\d04-081\d04-081-08-05.png,tsitsits
IAM_Words\e07\e07-072\e07-072-04-02.png,headway
IAM_Words\a04\a04-092\a04-092-06-02.png,but
IAM_Words\r06\r06-044\r06-044-03-03.png,muddling
IAM_Words\h01\h01-014\h01-014-04-04.png,authorities
IAM_Words\n02\n02-054\n02-054-02-04.png,","
